Index,X,Y,Z,E
0,1277,0,0,343
1,2611,0,0,701
2,3946,0,0,1058
3,5280,0,0,1556
4,6615,0,0,2302
5,7949,0,0,3048
6,6785,4229,43,3189
7,6041,7731,80,3318
8,7643,7731,80,3399
9,9237,7829,80,3480
10,10837,7823,80,3561
11,12432,7731,80,3641
12,14033,7731,80,3722
13,14155,9053,80,3804
14,12555,9069,80,3884
15,10960,8990,80,3966
16,9361,8961,80,4046
17,7766,9069,80,4127
18,6165,9069,80,4208
19,5693,7867,80,4289
20,7255,7763,80,4369
21,8852,7819,80,4449
22,10450,7882,80,4530
23,12044,7763,80,4611
24,13645,7763,80,4692
25,14318,8802,80,4773
26,12843,9037,80,4854
27,11245,8994,80,4935
28,9648,8914,80,5016
29,8054,9037,80,5097
30,6453,9037,80,5178
31,5680,8096,80,5259
32,8677,8618,80,5505
33,7107,8733,80,5586
34,5984,8257,80,5667
35,7391,8067,80,5748
36,8960,8194,80,5829
37,10561,8194,80,5910
38,12130,8067,80,5991
39,13731,8067,80,6072
40,13373,8733,80,6153
41,11771,8733,80,6233
42,10203,8606,80,6314
43,8640,8664,80,6393
44,7068,8765,80,6474
45,5952,8282,80,6555
46,7302,8035,80,6636
47,8870,8162,80,6716
48,10471,8162,80,6797
49,12040,8035,80,6879
50,13641,8035,80,6960
51,13591,8765,80,7040
52,11990,8765,80,7121
53,10421,8638,80,7202
54,8820,8638,80,7282
55,7306,8702,80,7361
56,6015,8395,80,7441
57,7315,8098,80,7522
58,8885,8225,80,7602
59,10486,8225,80,7684
60,12056,8098,80,7765
61,13657,8098,80,7846
62,13322,8702,80,7926
63,11721,8702,80,8007
64,10152,8575,80,8088
65,8236,8595,80,8160
66,6145,8587,80,8196
67,6422,8687,80,8270
68,6282,8453,80,8346
69,6311,8393,80,8423
70,6471,8462,80,8500
71,6632,8531,80,8577
72,6792,8601,80,8654
73,6952,8671,80,8731
74,6987,8662,80,8811
75,7007,8592,80,8888
76,7029,8522,80,8965
77,7049,8452,80,9042
78,7070,8383,80,9119
79,7090,8313,80,9196
80,7111,8244,80,9273
81,7132,8173,80,9351
82,7139,8113,80,9429
83,7260,8166,80,9507
84,7421,8236,80,9584
85,7582,8305,80,9661
86,7741,8374,80,9738
87,7901,8444,80,9815
88,8061,8512,80,9893
89,8221,8582,80,9971
90,8380,8651,80,10048
91,8454,8678,80,10126
92,8526,8630,80,10203
93,8532,8532,80,10280
94,8472,8381,80,10358
95,8381,8200,80,10435
96,8500,8185,80,10510
97,8916,8508,80,10585
98,8826,8240,80,10659
99,9196,8472,80,10733
100,9279,8420,80,10809
101,9286,8291,80,10884
102,9724,8547,80,10958
103,9658,8346,80,11033
104,9814,8365,80,11108
105,10110,8527,80,11184
106,10034,8271,80,11257
107,10341,8440,80,11332
108,10488,8452,80,11407
109,10431,8259,80,11483
110,10870,8515,80,11556
111,10865,8376,80,11631
112,10959,8335,80,11706
113,11318,8558,80,11782
114,11346,8450,80,11854
115,11252,8266,80,11931
116,11474,8351,80,12006
117,11682,8469,80,12084
118,11837,8533,80,12161
119,11923,8529,80,12239
120,11947,8462,80,12316
121,11967,8392,80,12393
122,11988,8323,80,12470
123,12009,8254,80,12547
124,12030,8185,80,12624
125,12052,8115,80,12702
126,12137,8154,80,12781
127,12297,8224,80,12858
128,12457,8294,80,12935
129,12618,8363,80,13012
130,12777,8432,80,13089
131,12937,8502,80,13166
132,13097,8571,80,13244
133,13257,8641,80,13321
134,13357,8687,80,13400
135,13374,8622,80,13477
136,13395,8553,80,13554
137,13415,8483,80,13631
138,13437,8413,80,13709
139,13457,8344,80,13786
140,13478,8275,80,13864
141,13498,8205,80,13941
142,13591,8206,80,14018
143,13864,8388,80,14095
144,13821,8165,80,14169
145,12080,8300,160,14204
146,8084,8733,160,14238
147,5984,8447,160,14359
148,7989,8067,160,14479
149,10352,8194,160,14600
150,12715,8067,160,14721
151,13608,8733,160,14842
152,11245,8606,160,14963
153,8849,8606,160,15084
154,7275,8765,160,15165
155,5952,8490,160,15246
156,7095,8035,160,15327
157,8665,8146,160,15408
158,10264,8162,160,15488
159,11832,8035,160,15569
160,13433,8035,160,15650
161,13798,8765,160,15731
162,12197,8765,160,15811
163,10629,8638,160,15893
164,9028,8638,160,15974
165,7514,8702,160,16051
166,6015,8602,160,16132
167,7108,8098,160,16212
168,8679,8214,160,16294
169,10279,8225,160,16375
170,11848,8098,160,16455
171,13450,8098,160,16536
172,13530,8702,160,16617
173,11929,8702,160,16698
174,10359,8575,160,16779
175,8758,8575,160,16860
176,6201,8144,160,16900
177,6135,8392,160,16973
178,6396,8220,160,17049
179,6476,8230,160,17127
180,6497,8301,160,17204
181,6516,8372,160,17281
182,6536,8442,160,17357
183,6555,8514,160,17435
184,6575,8584,160,17512
185,6595,8656,160,17589
186,6623,8674,160,17668
187,6782,8604,160,17745
188,6942,8535,160,17822
189,7102,8465,160,17899
190,7263,8396,160,17976
191,7423,8326,160,18054
192,7584,8257,160,18131
193,7744,8187,160,18208
194,7904,8117,160,18285
195,7915,8150,160,18364
196,7935,8220,160,18441
197,7957,8290,160,18518
198,7977,8360,160,18596
199,7998,8428,160,18673
200,8019,8499,160,18751
201,8045,8563,160,18828
202,8135,8564,160,18905
203,8293,8495,160,18983
204,8506,8373,160,19060
205,8773,8243,160,19135
206,8680,8428,160,19213
207,8655,8578,160,19285
208,9067,8311,160,19360
209,9116,8397,160,19436
210,9157,8492,160,19510
211,9591,8240,160,19584
212,9492,8473,160,19659
213,9687,8415,160,19735
214,9945,8293,160,19809
215,9868,8550,160,19883
216,10216,8340,160,19958
217,10322,8369,160,20034
218,10305,8521,160,20108
219,10743,8264,160,20182
220,10699,8443,160,20257
221,10833,8446,160,20333
222,11153,8262,160,20408
223,11062,8533,160,20481
224,11474,8212,160,20557
225,11652,8170,160,20632
226,11562,8351,160,20709
227,11505,8499,160,20786
228,11496,8597,160,20864
229,11548,8635,160,20941
230,11672,8602,160,21019
231,11832,8532,160,21096
232,11993,8463,160,21173
233,12153,8394,160,21250
234,12313,8324,160,21327
235,12473,8254,160,21404
236,12634,8185,160,21481
237,12793,8115,160,21559
238,12800,8153,160,21638
239,12821,8222,160,21715
240,12841,8292,160,21792
241,12863,8362,160,21869
242,12883,8432,160,21946
243,12904,8500,160,22023
244,12925,8571,160,22101
245,12946,8640,160,22178
246,12944,8687,160,22257
247,13102,8620,160,22334
248,13262,8550,160,22411
249,13423,8480,160,22488
250,13583,8410,160,22566
251,13741,8343,160,22643
252,13760,8414,160,22720
253,13599,8667,160,22798
254,13865,8581,160,22872
255,11125,8471,240,22907
256,6687,8709,240,22952
257,7958,8178,240,23082
258,9616,8330,240,23215
259,11628,8219,240,23349
260,12908,8659,240,23480
261,13917,8104,240,23604
262,12502,8720,240,23738
263,10989,8317,240,23871
264,8662,8420,240,24012
265,7359,8326,240,24142
266,6091,8563,240,24272
267,7148,8733,240,24377
268,7300,8067,240,24537
269,10457,8194,240,24698
270,13614,8067,240,24859
271,11939,8733,240,25018
272,8782,8606,240,25179
273,7223,8765,240,25259
274,5952,8438,240,25340
275,7146,8035,240,25421
276,8715,8159,240,25502
277,10316,8162,240,25583
278,11884,8035,240,25664
279,13485,8035,240,25745
280,13746,8765,240,25825
281,12145,8765,240,25906
282,10577,8638,240,25987
283,8976,8638,240,26068
284,6678,8554,320,26138
285,7958,8169,320,26268
286,9954,8355,320,26407
287,11952,8542,320,26546
288,13231,8335,320,26676
289,13594,8428,320,26800
290,12321,8458,320,26929
291,10647,8591,320,27064
292,8340,8096,320,27208
293,7036,8650,320,27338
294,6142,8184,320,27462
295,6690,8733,320,27573
296,7757,8067,320,27733
297,10914,8194,320,27894
298,14016,8098,320,28054
299,11499,8698,320,28214
300,8573,8694,320,28364
301,6994,8765,320,28445
302,5952,8209,320,28525
303,7376,8035,320,28606
304,8944,8162,320,28687
305,10545,8162,320,28768
306,12113,8035,320,28849
307,13714,8035,320,28929
308,13517,8765,320,29010
309,11916,8765,320,29091
310,10348,8638,320,29172
311,8746,8638,320,29253
312,7001,8230,400,29334
313,8281,8493,400,29465
314,10291,8561,400,29599
315,11953,8710,400,29733
316,13421,8079,400,29868
317,13304,8723,400,29994
318,11998,8134,400,30126
319,10328,8274,400,30259
320,8316,8274,400,30394
321,7046,8613,400,30525
322,7004,8241,400,30643
323,6232,8733,400,30771
324,8215,8067,400,30929
325,11368,8168,400,31091
326,14016,8556,400,31250
327,11062,8606,400,31410
328,8366,8765,400,31548
329,6765,8765,400,31629
330,6004,8035,400,31710
331,7605,8035,400,31790
332,9173,8162,400,31872
333,10774,8162,400,31953
334,12343,8035,400,32033
335,13944,8035,400,32115
336,13288,8765,400,32195
337,11687,8765,400,32276
338,10118,8638,400,32357
339,8573,8556,480,32427
340,7002,8117,480,32521
341,8326,8718,480,32652
342,10614,8237,480,32796
343,12275,8387,480,32929
344,13548,8327,480,33058
345,13278,8510,480,33182
346,11998,8213,480,33312
347,9991,8410,480,33452
348,7993,8598,480,33591
349,6722,8289,480,33721
350,8344,8520,480,33816
351,5984,8548,480,33966
352,8638,8172,480,34126
353,11792,8067,480,34287
354,13761,8733,480,34446
355,10604,8606,480,34607
356,8137,8765,480,34733
357,6535,8765,480,34814
358,6233,8035,480,34894
359,7834,8035,480,34976
360,9403,8162,480,35056
361,11004,8162,480,35137
362,12572,8035,480,35219
363,14048,8157,480,35299
364,13058,8765,480,35380
365,11473,8720,480,35460
366,9889,8638,480,35542
367,7232,8303,560,35600
368,7324,8441,560,35717
369,8625,8416,560,35848
370,10952,8447,560,35988
371,12585,8077,560,36124
372,13870,8651,560,36255
373,12955,8186,560,36379
374,11674,8537,560,36509
375,9653,8505,560,36644
376,7993,8655,560,36778
377,6693,8082,560,36909
378,8497,8703,560,37002
379,5984,8090,560,37162
380,9092,8194,560,37322
381,12249,8067,560,37483
382,13303,8733,560,37642
383,10147,8606,560,37803
384,7907,8765,560,37918
385,6306,8765,560,37999
386,6462,8035,560,38080
387,8064,8035,560,38161
388,9632,8162,560,38242
389,11233,8162,560,38322
390,12801,8035,560,38403
391,14048,8387,560,38484
392,12829,8765,560,38565
393,11261,8638,560,38646
394,9660,8638,560,38727
395,6062,8082,640,38774
396,7586,8722,640,38910
397,8963,8269,640,39039
398,11289,8468,640,39180
399,12591,8276,640,39311
400,13861,8611,640,39441
401,12955,8161,640,39565
402,11643,8685,640,39695
403,9329,8206,640,39839
404,7670,8331,640,39974
405,6398,8382,640,40104
406,8055,8733,640,40199
407,6393,8067,640,40357
408,9550,8194,640,40518
409,12707,8067,640,40680
410,12846,8733,640,40838
411,9689,8606,640,40999
412,7678,8765,640,41103
413,6077,8765,640,41184
414,6692,8035,640,41264
415,8293,8035,640,41345
416,9861,8162,640,41427
417,11449,8094,640,41507
418,13031,8035,640,41588
419,14048,8616,640,41669
420,12600,8765,640,41750
421,11031,8638,640,41830
422,9430,8638,640,41911
423,6370,8391,720,41969
424,7641,8496,720,42099
425,9285,8592,720,42236
426,11612,8144,720,42377
427,12914,8600,720,42508
428,13911,8237,720,42630
429,12632,8485,720,42761
430,11320,8362,720,42892
431,8994,8502,720,43033
432,7495,8079,720,43165
433,6075,8705,720,43300
434,7597,8733,720,43395
435,6851,8067,720,43554
436,10007,8194,720,43715
437,13164,8067,720,43876
438,12388,8733,720,44035
439,9231,8606,720,44197
440,7449,8765,720,44288
441,5952,8663,720,44369
442,6921,8035,720,44449
443,8511,8067,720,44530
444,10090,8162,720,44611
445,11659,8035,720,44693
446,13260,8035,720,44773
447,13972,8765,720,44854
448,12370,8765,720,44935
449,10802,8638,720,45016
450,9201,8638,720,45096
451,6693,8714,800,45166
452,7964,8173,800,45296
453,9622,8324,800,45428
454,11634,8224,800,45563
455,12914,8653,800,45694
456,13911,8110,800,45817
457,12518,8720,800,45951
458,10983,8323,800,46084
459,8657,8414,800,46226
460,7353,8331,800,46356
461,6085,8557,800,46486
462,7139,8733,800,46591
463,7308,8067,800,46750
464,10465,8194,800,46911
465,13622,8067,800,47072
466,11931,8733,800,47232
467,8774,8606,800,47393
468,7219,8765,800,47473
469,5952,8434,800,47554
470,7150,8035,800,47635
471,8719,8160,800,47716
472,10320,8162,800,47796
473,11888,8035,800,47877
474,13489,8035,800,47958
475,13742,8765,800,48038
476,12141,8765,800,48119
477,10573,8638,800,48201
478,8972,8638,800,48282
479,6683,8548,880,48351
480,7964,8175,880,48482
481,9960,8360,880,48621
482,11957,8548,880,48759
483,13237,8329,880,48890
484,13588,8433,880,49014
485,12315,8452,880,49143
486,10642,8590,880,49277
487,8334,8090,880,49422
488,7030,8655,880,49553
489,6148,8178,880,49676
490,6682,8733,880,49788
491,7766,8067,880,49946
492,10922,8194,880,50107
493,14016,8107,880,50268
494,11492,8694,880,50427
495,8569,8696,880,50577
496,6990,8765,880,50658
497,5952,8205,880,50738
498,7380,8035,880,50819
499,8948,8162,880,50900
500,10549,8162,880,50981
501,12117,8035,880,51062
502,13718,8035,880,51143
503,13513,8765,880,51223
504,11912,8765,880,51305
505,10344,8638,880,51385
506,8742,8638,880,51466
507,7007,8224,960,51548
508,8287,8498,960,51678
509,10297,8555,960,51813
510,11958,8705,960,51946
511,13406,8079,960,52081
512,13309,8723,960,52207
513,11992,8129,960,52340
514,10323,8269,960,52474
515,8310,8280,960,52608
516,7040,8607,960,52738
517,7028,8246,960,52856
518,6224,8733,960,52984
519,8223,8067,960,53143
520,11376,8165,960,53304
521,14016,8564,960,53464
522,11054,8606,960,53624
523,8362,8765,960,53762
524,6761,8765,960,53843
525,6008,8035,960,53923
526,7609,8035,960,54004
527,9177,8162,960,54085
528,10778,8162,960,54166
529,12347,8035,960,54247
530,13948,8035,960,54328
531,13284,8765,960,54409
532,11682,8765,960,54489
533,10114,8638,960,54570
534,8553,8552,1040,54640
535,7007,8123,1040,54734
536,8325,8718,1040,54866
537,10620,8231,1040,55010
538,12280,8381,1040,55143
539,13553,8333,1040,55272
540,13272,8504,1040,55396
541,11992,8218,1040,55526
542,9985,8416,1040,55666
543,7987,8604,1040,55805
544,6717,8284,1040,55935
545,8368,8525,1040,56029
546,5984,8540,1040,56179
547,8645,8174,1040,56339
548,11800,8067,1040,56500
549,13753,8733,1040,56659
550,10596,8606,1040,56821
551,8133,8765,1040,56947
552,6531,8765,1040,57028
553,6237,8035,1040,57108
554,7838,8035,1040,57189
555,9407,8162,1040,57270
556,11008,8162,1040,57351
557,12576,8035,1040,57432
558,14048,8161,1040,57512
559,13054,8765,1040,57593
560,11469,8718,1040,57675
561,9885,8638,1040,57755
562,7209,8298,1120,57814
563,7330,8447,1120,57930
564,8631,8410,1120,58061
565,10957,8453,1120,58201
566,12585,8077,1120,58337
567,13876,8657,1120,58469
568,12949,8180,1120,58592
569,11669,8542,1120,58722
570,9648,8500,1120,58858
571,7987,8649,1120,58991
572,6697,8082,1120,59122
573,8490,8709,1120,59216
574,5984,8082,1120,59375
575,9100,8194,1120,59535
576,12257,8067,1120,59696
577,13295,8733,1120,59856
578,10139,8606,1120,60017
579,7903,8765,1120,60132
580,6302,8765,1120,60212
581,6466,8035,1120,60293
582,8068,8035,1120,60374
583,9636,8162,1120,60455
584,11237,8162,1120,60536
585,12805,8035,1120,60617
586,14048,8391,1120,60698
587,12825,8765,1120,60778
588,11257,8638,1120,60859
589,9656,8638,1120,60940
590,6063,8083,1200,60987
591,7577,8722,1200,61123
592,8969,8274,1200,61254
593,11295,8462,1200,61394
594,12597,8281,1200,61525
595,13867,8606,1200,61654
596,12949,8167,1200,61778
597,11638,8680,1200,61910
598,9319,8207,1200,62052
599,7664,8325,1200,62187
600,6393,8387,1200,62317
601,8047,8733,1200,62412
602,6401,8067,1200,62571
603,9558,8194,1200,62732
604,12715,8067,1200,62893
605,12838,8733,1200,63052
606,9681,8606,1200,63214
607,7674,8765,1200,63317
608,6073,8765,1200,63398
609,6696,8035,1200,63478
610,8297,8035,1200,63559
611,9865,8162,1200,63640
612,11452,8092,1200,63721
613,13034,8035,1200,63802
614,14048,8620,1200,63883
615,12596,8765,1200,63963
616,11028,8638,1200,64044
617,9426,8638,1200,64125
618,6376,8397,1280,64183
619,7646,8491,1280,64313
620,9290,8596,1280,64449
621,11618,8139,1280,64590
622,12919,8605,1280,64721
623,13906,8232,1280,64844
624,12626,8491,1280,64975
625,11315,8356,1280,65106
626,8989,8507,1280,65247
627,7511,8080,1280,65378
628,6070,8711,1280,65514
629,7589,8733,1280,65608
630,6858,8067,1280,65767
631,10015,8194,1280,65928
632,13172,8067,1280,66090
633,12380,8733,1280,66249
634,9224,8606,1280,66410
635,7445,8765,1280,66502
636,5952,8659,1280,66582
637,6925,8035,1280,66663
638,8514,8070,1280,66744
639,10094,8162,1280,66825
640,11663,8035,1280,66906
641,13264,8035,1280,66987
642,13968,8765,1280,67067
643,12366,8765,1280,67148
644,10798,8638,1280,67229
645,9197,8638,1280,67310
646,6697,8719,1360,67379
647,7969,8167,1360,67509
648,9628,8319,1360,67642
649,11639,8230,1360,67777
650,12920,8648,1360,67907
651,13906,8115,1360,68030
652,12531,8719,1360,68164
653,10977,8328,1360,68299
654,8651,8408,1360,68439
655,7348,8337,1360,68570
656,6080,8552,1360,68700
657,7132,8733,1360,68805
